_id,name,salary,link,min_salary,max_salary,currency,source
5f84bd070f267e4e469375e4,Python developer middle,"[""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""130 000 руб.""]",https://www.superjob.ru/vakansii/python-developer-middle-34655498.html,none,none,none,superjobru
5f84bd070f267e4e469375e9,Старший системный администратор,"[""от"","" "",""80 000 руб."",""70 000"",""80 000"","" "",""руб."",""По договорённости"",""от"","" "",""50 000 руб."",""184 000"",""230 000"","" "",""руб."",""35 845"","" "",""руб."",""до"","" "",""80 000 руб.""]",https://www.superjob.ru/vakansii/starshij-sistemnyj-administrator-34223195.html,80000,none,руб.,superjobru
5f84bd070f267e4e469375ea,Программист,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/programmist-34615972.html,none,none,none,superjobru
5f84bd070f267e4e469375eb,Специалист технической поддержки и сопровождения финансового ПО (уровень 2-3),"[""По договорённости"",""от"","" "",""45 000 руб."",""до"","" "",""65 000 руб."",""от"","" "",""20 000 руб."",""По договорённости"",""до"","" "",""104 000 руб."",""65 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-i-soprovozhdeniya-finansovogo-po-34607173.html,none,none,none,superjobru
5f84bd080f267e4e469375ed,Data Engineer (BI инженер),"[""По договорённости"",""от"","" "",""40 000 руб."",""от"","" "",""60 000 руб."",""от"","" "",""100 000 руб."",""70 000"",""80 000"","" "",""руб."",""от"","" "",""80 000 руб."",""70 000"",""80 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/data-engineer-34726527.html,none,none,none,superjobru
5f84bd080f267e4e469375ee,Программист,"[""до"","" "",""120 000 руб."",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/programmist-34672619.html,none,120000,руб.,superjobru
5f84bd080f267e4e469375ef,Ведущий системный администратор,"[""По договорённости"",""70 000"",""80 000"","" "",""руб."",""По договорённости"",""от"","" "",""50 000 руб."",""184 000"",""230 000"","" "",""руб."",""35 845"","" "",""руб."",""до"","" "",""80 000 руб.""]",https://www.superjob.ru/vakansii/veduschij-sistemnyj-administrator-33495886.html,none,none,none,superjobru
5f84bd080f267e4e469375f1,Chief Technical Officer (CTO),"[""По договорённости"",""По договорённости"",""до"","" "",""400 000 руб."",""до"","" "",""350 000 руб."",""от"","" "",""80 000 руб."",""40 000"","" "",""руб."",""По договорённости""]",https://www.superjob.ru/vakansii/chief-technical-officer-34113725.html,none,none,none,superjobru
5f84bd080f267e4e469375f7,Python Backend Developer,"[""По договорённости"",""184 000"",""185 000"","" "",""руб."",""По договорённости"",""По договорённости"",""По договорённости"",""180 000"",""220 000"","" "",""руб."",""По договорённости""]",https://www.superjob.ru/vakansii/python-backend-developer-34705195.html,none,none,none,superjobru
5f84bd080f267e4e469375f9,Тестировщик ПО,"[""от"","" "",""100 000 руб."",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""200 000 руб."",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/testirovschik-po-34727390.html,100000,none,руб.,superjobru
5f84bd080f267e4e469375fd,Аналитик,"[""По договорённости"",""По договорённости"",""По договорённости"",""130 000"",""150 000"","" "",""руб."",""от"","" "",""50 000 руб."",""до"","" "",""104 000 руб."",""до"","" "",""60 000 руб.""]",https://www.superjob.ru/vakansii/analitik-34741317.html,none,none,none,superjobru
5f84bd080f267e4e469375fe,Системный аналитик (удаленно),"[""130 000"",""150 000"","" "",""руб."",""до"","" "",""60 000 руб."",""По договорённости"",""По договорённости"",""По договорённости"",""от"","" "",""60 000 руб."",""По договорённости""]",https://www.superjob.ru/vakansii/sistemnyj-analitik-34675079.html,130000,150000,руб.,superjobru
5f84bd080f267e4e469375ff,Инженер по техническому сопровождению продаж,"[""По договорённости"",""от"","" "",""40 000 руб."",""от"","" "",""60 000 руб."",""от"","" "",""100 000 руб."",""70 000"",""80 000"","" "",""руб."",""от"","" "",""80 000 руб."",""70 000"",""80 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/inzhener-po-tehnicheskomu-soprovozhdeniyu-prodazh-34607062.html,none,none,none,superjobru
5f84bd090f267e4e46937600,Back-End Developer,"[""184 000"",""185 000"","" "",""руб."",""до"","" "",""225 000 руб."",""87 000"","" "",""руб."",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/back-end-developer-34655758.html,184000,185000,руб.,superjobru
5f84bd090f267e4e46937604,Python developer,"[""По договорённости"",""По договорённости"",""По договорённости"",""180 000"",""220 000"","" "",""руб."",""По договорённости"",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/python-developer-34692504.html,none,none,none,superjobru
5f84bd090f267e4e46937608,Full-stack-веб-программист python/javascript,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""80 000 руб."",""По договорённости""]",https://www.superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html,none,none,none,superjobru
5f84bd090f267e4e46937609,Ведущий Python-разработчик,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/veduschij-python-razrabotchik-34647562.html,none,none,none,superjobru
5f84bd090f267e4e4693760a,Разработчик Python,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/razrabotchik-python-34541807.html,none,none,none,superjobru
